dropout,age,gender,other_sports,injury_previous_season,socioeconomic,intrinsic,ide,int,ext,amot,aut_supp
,12,female,1,no,5,7,6.75,1,1,1,6.833333333
no dropout,12,female,2,no,5,7,6.5,1,1,1,6.666666667
no dropout,12,male,0,yes,5,7,5.5,1,1,1,5.833333333
no dropout,12,male,1,no,4,7,6,1,1,1,5.5
no dropout,12,male,2,no,5,7,6.5,1,2.5,1,6
no dropout,12,male,1,no,5,6.5,6.5,2.5,1,1,6.833333333
no dropout,12,female,2,no,5,7,5.25,1,1,1,6.166666667
no dropout,12,male,0,no,3,7,5,1,1,1,6.166666667
no dropout,12,female,3,no,5,7,6.75,1,1,1,5.5
no dropout,12,female,1,no,4,7,5.5,1,1,1,7
no dropout,12,male,1,no,5,7,6.75,1,1,1,6.833333333
no dropout,12,male,1,no,3,7,3.75,1,1,1,4.166666667
no dropout,12,male,0,no,4,7,6.75,5,3.75,2.25,6.666666667
no dropout,12,male,0,no,4,7,6,1,1,1,6.166666667
no dropout,12,female,1,no,5,7,1.75,1,1,1,6.5
dropout,12,female,2,no,5,7,4,1,1,1,5.5
no dropout,12,female,2,no,5,7,4,1,1,1,5.5
dropout,12,female,1,no,3,7,2,1.5,1,1,4.833333333
no dropout,12,female,0,no,5,6.75,5,2,1,3.25,6.833333333
no dropout,12,female,0,no,4,7,7,1,1,1,7
no dropout,12,male,0,no,5,7,4.75,1,1,1,5.166666667
no dropout,12,female,1,no,5,5.75,5.5,3.75,1.75,1,4.666666667
no dropout,12,female,1,no,5,7,4,1.25,1,1.5,6.5
no dropout,12,female,1,no,5,7,6.75,1,1,1,6.833333333
dropout,12,female,0,no,5,7,4.5,1,1,1,3.833333333
,12,female,1,no,4,7,1.75,1,1,1,6.5
dropout,12,female,1,no,5,5.25,4.5,1.5,2.25,1.25,6.333333333
no dropout,12,male,0,no,4,7,4.75,1.25,2,1,6
no dropout,12,male,1,no,5,7,7,1.25,1,1,7
no dropout,12,male,1,no,5,5.25,4,1.75,1,3.25,6.5
,12,female,1,yes,5,7,4,1,1,1,5.666666667
